Date,SPY
11/1/2019,296.1603
11/4/2019,297.3502
11/5/2019,297.0213
11/6/2019,297.089
11/7/2019,298.1338
11/8/2019,298.8691
11/11/2019,298.2983
11/12/2019,298.9271
11/13/2019,299.0238
11/14/2019,299.4592
11/15/2019,301.6261
11/18/2019,301.8486
11/19/2019,301.7616
11/20/2019,300.6394
11/21/2019,300.1557
11/22/2019,300.8232
11/25/2019,303.1546
11/26/2019,303.8415
11/27/2019,305.1959
11/29/2019,304.064
12/2/2019,301.481
12/3/2019,299.4592
12/4/2019,301.3069
12/5/2019,301.8486
12/6/2019,304.6057
12/9/2019,303.648
12/10/2019,303.3094
12/11/2019,304.1704
12/12/2019,306.7921
12/13/2019,306.9759
12/16/2019,309.0848
12/17/2019,309.1525
12/18/2019,309.1719
12/19/2019,310.4392
12/20/2019,311.8
12/23/2019,312.2764
12/24/2019,312.2861
12/26/2019,313.9485
12/27/2019,313.8707
12/30/2019,312.1403
12/31/2019,312.8986
1/2/2020,315.8248
1/3/2020,313.4333
1/6/2020,314.629
1/7/2020,313.7444
1/8/2020,315.4165
1/9/2020,317.5552
1/10/2020,316.6414
1/13/2020,318.819
1/14/2020,318.3329
1/15/2020,319.0523
1/16/2020,321.7063
1/17/2020,322.7076
1/21/2020,322.0757
1/22/2020,322.1146
1/23/2020,322.4841
1/24/2020,319.6162
1/27/2020,314.4929
1/28/2020,317.7885
1/29/2020,317.526
1/30/2020,318.5565
1/31/2020,312.7722
2/3/2020,315.0957
2/4/2020,319.8981
2/5/2020,323.5923
2/6/2020,324.6811
2/7/2020,322.9507
2/10/2020,325.3616
2/11/2020,325.9255
2/12/2020,328.0253
2/13/2020,327.6754
2/14/2020,328.2003
2/18/2020,327.3546
2/19/2020,328.9197
2/20/2020,327.5684
2/21/2020,324.195
2/24/2020,313.443
2/25/2020,303.945
2/26/2020,302.827
2/27/2020,289.2265
2/28/2020,288.0113
3/2/2020,300.4841
3/3/2020,291.8805
3/4/2020,304.1492
3/5/2020,294.0387
3/6/2020,289.1779
3/9/2020,266.5947
3/10/2020,280.3896
3/11/2020,266.7211
3/12/2020,241.202
3/13/2020,261.8214
3/16/2020,233.172
3/17/2020,245.7614
3/18/2020,233.3178
3/19/2020,233.8136
3/20/2020,223.7371
3/23/2020,218.0166
3/24/2020,237.7696
3/25/2020,241.3291
3/26/2020,255.4202
3/27/2020,247.8123
3/30/2020,255.8602
3/31/2020,252.0465
4/1/2020,240.7032
4/2/2020,246.2575
4/3/2020,242.6981
4/6/2020,258.9992
4/7/2020,259.2632
4/8/2020,267.9663
4/9/2020,272.044
4/13/2020,269.5602
4/14/2020,277.5103
4/15/2020,271.6137
4/16/2020,272.9241
4/17/2020,280.2973
4/20/2020,275.359
4/21/2020,266.9982
4/22/2020,272.9241
4/23/2020,272.9045
4/24/2020,276.7085
4/27/2020,280.6982
4/28/2020,279.4074
4/29/2020,286.7219
4/30/2020,284.0523
5/1/2020,276.5324
5/4/2020,277.2952
5/5/2020,279.8572
5/6/2020,277.9601
5/7/2020,281.3142
5/8/2020,285.9689
5/11/2020,286.0276
5/12/2020,280.3266
5/13/2020,275.3688
5/14/2020,278.6642
5/15/2020,279.9452
5/18/2020,288.4723
5/19/2020,285.5093
5/20/2020,290.3596
5/21/2020,288.3549
5/22/2020,288.9025
5/26/2020,292.462
5/27/2020,296.8135
5/28/2020,296.2659
5/29/2020,297.586
6/1/2020,298.7888
6/2/2020,301.2628
6/3/2020,305.2721
6/4/2020,304.4703
6/5/2020,312.2737
6/8/2020,316.0483
6/9/2020,313.6916
6/10/2020,311.9412
6/11/2020,293.9581
6/12/2020,297.4785
6/15/2020,300.2556
6/16/2020,306.0348
6/17/2020,304.7636
6/18/2020,304.881
6/19/2020,303.1388
6/22/2020,305.0835
6/23/2020,306.488
6/24/2020,298.6699
6/25/2020,301.8718
6/26/2020,294.7019
6/29/2020,299.0333
6/30/2020,302.8638
7/1/2020,304.9853
7/2/2020,306.6648
7/6/2020,311.3989
7/7/2020,308.1872
7/8/2020,310.5444
7/9/2020,308.7765
7/10/2020,311.9293
7/13/2020,309.2283
7/14/2020,313.2356
7/15/2020,316.1133
7/16/2020,315.0722
7/17/2020,315.9857
7/20/2020,318.5393
7/21/2020,319.217
7/22/2020,321.034
7/23/2020,317.2036
7/24/2020,315.1606
7/27/2020,317.4589
7/28/2020,315.4455
7/29/2020,319.3251
7/30/2020,318.1857
7/31/2020,320.7001
8/3/2020,322.9296
8/4/2020,324.177
8/5/2020,326.1905
8/6/2020,328.3709
8/7/2020,328.6066
8/10/2020,329.5888
8/11/2020,326.8682
8/12/2020,331.4255
8/13/2020,330.8263
8/14/2020,330.8362
8/17/2020,331.8871
8/18/2020,332.6041
8/19/2020,331.2192
8/20/2020,332.2505
8/21/2020,333.4291
8/24/2020,336.8078
8/25/2020,337.9864
8/26/2020,341.3749
8/27/2020,342.1214
8/28/2020,344.3313
8/31/2020,343.0839
9/1/2020,346.3152
9/2/2020,351.3243
9/3/2020,339.2338
9/4/2020,336.464
9/8/2020,327.2709
9/9/2020,333.7336
9/10/2020,327.9387
9/11/2020,328.1057
