,t,f,v
0,CLF US EQUITY,GICS SECTOR NAME,Materials
1,JPM US EQUITY,GICS SECTOR NAME,Financials
2,LCID US EQUITY,GICS SECTOR NAME,Consumer Discretionary
3,PYPL US EQUITY,GICS SECTOR NAME,Information Technology
4,NCLH US EQUITY,GICS SECTOR NAME,Consumer Discretionary
5,DAL US EQUITY,GICS SECTOR NAME,Industrials
6,DKNG US EQUITY,GICS SECTOR NAME,Consumer Discretionary
7,WISH US EQUITY,GICS SECTOR NAME,Consumer Discretionary
8,VZ US EQUITY,GICS SECTOR NAME,Communication Services
9,PLUG US EQUITY,GICS SECTOR NAME,Industrials
10,ENPH US EQUITY,GICS SECTOR NAME,Information Technology
11,SNOW US EQUITY,GICS SECTOR NAME,Information Technology
12,FISV US EQUITY,GICS SECTOR NAME,Information Technology
13,USB US EQUITY,GICS SECTOR NAME,Financials
14,TWLO US EQUITY,GICS SECTOR NAME,Information Technology
15,GGPI US EQUITY,GICS SECTOR NAME,
16,ADBE US EQUITY,GICS SECTOR NAME,Information Technology
17,MCD US EQUITY,GICS SECTOR NAME,Consumer Discretionary
18,U US EQUITY,GICS SECTOR NAME,Information Technology
19,MTCH US EQUITY,GICS SECTOR NAME,Communication Services
20,AAPL US EQUITY,GICS SECTOR NAME,Information Technology
21,TSLA US EQUITY,GICS SECTOR NAME,Consumer Discretionary
22,F US EQUITY,GICS SECTOR NAME,Consumer Discretionary
23,BABA US EQUITY,GICS SECTOR NAME,Consumer Discretionary
24,BAC US EQUITY,GICS SECTOR NAME,Financials
25,T US EQUITY,GICS SECTOR NAME,Communication Services
26,AMD US EQUITY,GICS SECTOR NAME,Information Technology
27,PLTR US EQUITY,GICS SECTOR NAME,Information Technology
28,AAL US EQUITY,GICS SECTOR NAME,Industrials
29,NIO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
30,FB US EQUITY,GICS SECTOR NAME,Communication Services
31,INTC US EQUITY,GICS SECTOR NAME,Information Technology
32,PFE US EQUITY,GICS SECTOR NAME,Health Care
33,MSFT US EQUITY,GICS SECTOR NAME,Information Technology
34,UBER US EQUITY,GICS SECTOR NAME,Industrials
35,NVDA US EQUITY,GICS SECTOR NAME,Information Technology
36,CCL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
37,GE US EQUITY,GICS SECTOR NAME,Industrials
38,C US EQUITY,GICS SECTOR NAME,Financials
39,WFC US EQUITY,GICS SECTOR NAME,Financials
40,ABNB US EQUITY,GICS SECTOR NAME,Consumer Discretionary
41,COTY US EQUITY,GICS SECTOR NAME,Consumer Staples
42,OPEN US EQUITY,GICS SECTOR NAME,Real Estate
43,DVN US EQUITY,GICS SECTOR NAME,Energy
44,TTD US EQUITY,GICS SECTOR NAME,Information Technology
45,LYFT US EQUITY,GICS SECTOR NAME,Industrials
46,AA US EQUITY,GICS SECTOR NAME,Materials
47,PROG US EQUITY,GICS SECTOR NAME,Health Care
48,TDOC US EQUITY,GICS SECTOR NAME,Health Care
49,WYNN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
50,CRWD US EQUITY,GICS SECTOR NAME,Information Technology
51,GNUS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
52,TMUS US EQUITY,GICS SECTOR NAME,Communication Services
53,NVAX US EQUITY,GICS SECTOR NAME,Health Care
54,NET US EQUITY,GICS SECTOR NAME,Information Technology
55,DOCU US EQUITY,GICS SECTOR NAME,Information Technology
56,GPS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
57,KHC US EQUITY,GICS SECTOR NAME,Consumer Staples
58,IGT US EQUITY,GICS SECTOR NAME,Consumer Discretionary
59,CHWY US EQUITY,GICS SECTOR NAME,Consumer Discretionary
60,PTON US EQUITY,GICS SECTOR NAME,Consumer Discretionary
61,IBM US EQUITY,GICS SECTOR NAME,Information Technology
62,ABBV US EQUITY,GICS SECTOR NAME,Health Care
63,ZM US EQUITY,GICS SECTOR NAME,Information Technology
64,MARA US EQUITY,GICS SECTOR NAME,Information Technology
65,FCEL US EQUITY,GICS SECTOR NAME,Industrials
66,ORCL US EQUITY,GICS SECTOR NAME,Information Technology
67,M US EQUITY,GICS SECTOR NAME,Consumer Discretionary
68,BYND US EQUITY,GICS SECTOR NAME,Consumer Staples
69,NKE US EQUITY,GICS SECTOR NAME,Consumer Discretionary
70,TAL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
71,LVS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
72,IVR US EQUITY,GICS SECTOR NAME,Financials
73,AMZN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
74,BBIG US EQUITY,GICS SECTOR NAME,Consumer Discretionary
75,SOFI US EQUITY,GICS SECTOR NAME,Financials
76,OXY US EQUITY,GICS SECTOR NAME,Energy
77,SQ US EQUITY,GICS SECTOR NAME,Information Technology
78,RIG US EQUITY,GICS SECTOR NAME,Energy
79,JD US EQUITY,GICS SECTOR NAME,Consumer Discretionary
80,TJX US EQUITY,GICS SECTOR NAME,Consumer Discretionary
81,COST US EQUITY,GICS SECTOR NAME,Consumer Staples
82,GEO US EQUITY,GICS SECTOR NAME,Real Estate
83,BTU US EQUITY,GICS SECTOR NAME,Energy
84,MET US EQUITY,GICS SECTOR NAME,Financials
85,AVGO US EQUITY,GICS SECTOR NAME,Information Technology
86,CVNA US EQUITY,GICS SECTOR NAME,Consumer Discretionary
87,PANW US EQUITY,GICS SECTOR NAME,Information Technology
88,VLO US EQUITY,GICS SECTOR NAME,Energy
89,BEKE US EQUITY,GICS SECTOR NAME,Real Estate
90,MDT US EQUITY,GICS SECTOR NAME,Health Care
