,ticker,value
0,TWTR,Interactive Media & Services
1,X,Metals & Mining
2,CMCSA,Media
3,CSCO,Communications Equipment
4,PINS,Interactive Media & Services
5,TLRY,Pharmaceuticals
6,UAL,Airlines
7,ET,"Oil, Gas & Consumable Fuels"
8,EDU,Diversified Consumer Services
9,MRK,Pharmaceuticals
10,FB,Interactive Media & Services
11,INTC,Semiconductors & Semiconductor
12,PFE,Pharmaceuticals
13,MSFT,Software
14,UBER,Road & Rail
15,NVDA,Semiconductors & Semiconductor
16,CCL,"Hotels, Restaurants & Leisure"
17,GE,Industrial Conglomerates
18,C,Banks
19,WFC,Banks
20,DBX,Software
21,UNIT,Equity Real Estate Investment
22,WMB,"Oil, Gas & Consumable Fuels"
23,GREE,Software
24,TCOM,"Hotels, Restaurants & Leisure"
25,ATOS,Biotechnology
26,AIG,Insurance
27,JWN,Multiline Retail
28,NYMT,Mortgage Real Estate Investmen
29,CRTX,Biotechnology
30,BLNK,Electrical Equipment
31,GOEV,Automobiles
32,TPX,Household Durables
33,STLA,Automobiles
34,ETSY,Internet & Direct Marketing Re
35,SAVA,Pharmaceuticals
36,CAR,Road & Rail
37,TWO,Mortgage Real Estate Investmen
38,SPG,Equity Real Estate Investment
39,UAA,"Textiles, Apparel & Luxury Goo"
40,TAL,Diversified Consumer Services
41,LVS,"Hotels, Restaurants & Leisure"
42,IVR,Mortgage Real Estate Investmen
43,AMZN,Internet & Direct Marketing Re
44,BBIG,Leisure Products
45,SOFI,Consumer Finance
46,OXY,"Oil, Gas & Consumable Fuels"
47,SQ,IT Services
48,RIG,Energy Equipment & Services
49,JD,Internet & Direct Marketing Re
50,CRWD,Software
51,GNUS,Leisure Products
52,TMUS,Wireless Telecommunication Ser
53,NVAX,Biotechnology
54,NET,IT Services
55,DOCU,Software
56,GPS,Specialty Retail
57,KHC,Food Products
58,IGT,"Hotels, Restaurants & Leisure"
59,CHWY,Internet & Direct Marketing Re
60,NEE,Electric Utilities
61,AR,"Oil, Gas & Consumable Fuels"
62,CPNG,Internet & Direct Marketing Re
63,MO,Tobacco
64,XPEV,Automobiles
65,COIN,Capital Markets
66,IPOF,
67,AMAT,Semiconductors & Semiconductor
68,MRO,"Oil, Gas & Consumable Fuels"
69,JNJ,Pharmaceuticals
70,SNAP,Interactive Media & Services
71,AMC,Entertainment
72,SNDL,Pharmaceuticals
73,GM,Automobiles
74,MU,Semiconductors & Semiconductor
75,FCX,Metals & Mining
76,XOM,"Oil, Gas & Consumable Fuels"
77,BA,Aerospace & Defense
78,DIS,Entertainment
79,VIAC,Media
80,SPLK,Software
81,LAZR,Auto Components
82,ABT,Health Care Equipment & Suppli
83,AMRN,Biotechnology
84,HPQ,"Technology Hardware, Storage &"
85,OPK,Biotechnology
86,SCHW,Capital Markets
87,FANG,"Oil, Gas & Consumable Fuels"
88,W,Internet & Direct Marketing Re
89,BILI,Entertainment
90,MA,IT Services
91,JMIA,Internet & Direct Marketing Re
92,KMI,"Oil, Gas & Consumable Fuels"
93,FFIE,Automobiles
94,ANY,Software
95,PG,Household Products
96,AFRM,IT Services
97,MPC,"Oil, Gas & Consumable Fuels"
98,TELL,"Oil, Gas & Consumable Fuels"
99,WBA,Food & Staples Retailing
100,DM,Machinery
101,DISH,Media
102,GS,Capital Markets
103,EPD,"Oil, Gas & Consumable Fuels"
104,EXPE,"Hotels, Restaurants & Leisure"
105,SE,Entertainment
106,MGM,"Hotels, Restaurants & Leisure"
107,GOOGL,Interactive Media & Services
108,DOW,Chemicals
109,FUTU,Capital Markets
110,ADI,Semiconductors & Semiconductor
111,ISRG,Health Care Equipment & Suppli
112,ROOT,Insurance
113,TTCF,Food Products
114,UNP,Road & Rail
115,TSN,Food Products
116,XLNX,Semiconductors & Semiconductor
117,CAN,"Technology Hardware, Storage &"
118,COMM,Communications Equipment
119,PSX,"Oil, Gas & Consumable Fuels"
120,TJX,Specialty Retail
121,COST,Food & Staples Retailing
122,GEO,Equity Real Estate Investment
123,BTU,"Oil, Gas & Consumable Fuels"
124,MET,Insurance
125,AVGO,Semiconductors & Semiconductor
126,CVNA,Specialty Retail
127,PANW,Software
128,VLO,"Oil, Gas & Consumable Fuels"
129,BEKE,Real Estate Management & Devel
130,MDT,Health Care Equipment & Suppli
131,VMW,Software
132,MNDT,Software
133,APA,"Oil, Gas & Consumable Fuels"
134,CEI,"Oil, Gas & Consumable Fuels"
135,GOGO,Wireless Telecommunication Ser
136,FTCH,Internet & Direct Marketing Re
137,SWN,"Oil, Gas & Consumable Fuels"
138,BNTX,Biotechnology
139,RLX,Tobacco
140,RBLX,Entertainment
141,KSS,Multiline Retail
142,CZR,"Hotels, Restaurants & Leisure"
143,MUX,Metals & Mining
144,TRIP,Interactive Media & Services
145,TIGR,Capital Markets
146,UWMC,Thrifts & Mortgage Finance
147,CRSR,"Technology Hardware, Storage &"
148,PEP,Beverages
149,CTRA,"Oil, Gas & Consumable Fuels"
150,ENPH,Semiconductors & Semiconductor
151,SNOW,IT Services
152,FISV,IT Services
153,USB,Banks
154,TWLO,IT Services
155,GGPI,
156,ADBE,Software
157,MCD,"Hotels, Restaurants & Leisure"
158,U,Software
159,MTCH,Interactive Media & Services
160,INO,Biotechnology
161,AGC,
162,CLNE,"Oil, Gas & Consumable Fuels"
163,SAVE,Airlines
164,BBY,Specialty Retail
165,PM,Tobacco
166,AGEN,Biotechnology
167,LLY,Pharmaceuticals
168,UNH,Health Care Providers & Servic
169,HYLN,Machinery
170,LYV,Entertainment
171,AMRS,Chemicals
172,BCRX,Biotechnology
173,BSX,Health Care Equipment & Suppli
174,DBRG,Equity Real Estate Investment
175,PAA,"Oil, Gas & Consumable Fuels"
176,DDOG,Software
177,SPWR,Semiconductors & Semiconductor
178,DELL,"Technology Hardware, Storage &"
179,UPST,Consumer Finance
180,NEM,Metals & Mining
181,VTRS,Pharmaceuticals
182,BKKT,
183,VIPS,Internet & Direct Marketing Re
184,COP,"Oil, Gas & Consumable Fuels"
185,ROKU,Entertainment
186,HAL,Energy Equipment & Services
187,EQT,"Oil, Gas & Consumable Fuels"
188,RKT,Thrifts & Mortgage Finance
189,LUMN,Diversified Telecommunication
190,CHPT,Electrical Equipment
191,OCGN,Biotechnology
192,FDX,Air Freight & Logistics
193,BBBY,Specialty Retail
194,WDC,"Technology Hardware, Storage &"
195,SRNE,Biotechnology
196,SIRI,Media
197,SABR,IT Services
198,ATUS,Media
199,FSLY,IT Services
200,LUV,Airlines
201,RCL,"Hotels, Restaurants & Leisure"
202,NKLA,Machinery
203,LI,Automobiles
204,FUBO,Interactive Media & Services
205,PSTH,
206,PDD,Internet & Direct Marketing Re
207,SENS,Health Care Equipment & Suppli
208,SDC,Health Care Equipment & Suppli
209,FSR,Automobiles
210,CVX,"Oil, Gas & Consumable Fuels"
211,CVS,Health Care Providers & Servic
212,NFLX,Entertainment
213,TME,Entertainment
214,MRNA,Biotechnology
215,SKLZ,Entertainment
216,IQ,Entertainment
217,ATVI,Entertainment
218,SBUX,"Hotels, Restaurants & Leisure"
219,WKHS,Automobiles
220,ABNB,"Hotels, Restaurants & Leisure"
221,COTY,Personal Products
222,OPEN,Real Estate Management & Devel
223,DVN,"Oil, Gas & Consumable Fuels"
224,TTD,Software
225,LYFT,Road & Rail
226,AA,Metals & Mining
227,PROG,Health Care Providers & Servic
228,TDOC,Health Care Technology
229,WYNN,"Hotels, Restaurants & Leisure"
230,PTON,Leisure Products
231,IBM,IT Services
232,ABBV,Biotechnology
233,ZM,Software
234,MARA,Software
235,FCEL,Electrical Equipment
236,ORCL,Software
237,M,Multiline Retail
238,BYND,Food Products
239,NKE,"Textiles, Apparel & Luxury Goo"
240,CLF,Metals & Mining
241,JPM,Banks
242,LCID,Automobiles
243,PYPL,IT Services
