date,SPY
2019-11-01,296.1603
2019-11-04,297.3502
2019-11-05,297.0213
2019-11-06,297.089
2019-11-07,298.1338
2019-11-08,298.8691
2019-11-11,298.2983
2019-11-12,298.9271
2019-11-13,299.0238
2019-11-14,299.4592
2019-11-15,301.6261
2019-11-18,301.8486
2019-11-19,301.7616
2019-11-20,300.6394
2019-11-21,300.1557
2019-11-22,300.8232
2019-11-25,303.1546
2019-11-26,303.8415
2019-11-27,305.1959
2019-11-29,304.064
2019-12-02,301.481
2019-12-03,299.4592
2019-12-04,301.3069
2019-12-05,301.8486
2019-12-06,304.6057
2019-12-09,303.648
2019-12-10,303.3094
2019-12-11,304.1704
2019-12-12,306.7921
2019-12-13,306.9759
2019-12-16,309.0848
2019-12-17,309.1525
2019-12-18,309.1719
2019-12-19,310.4392
2019-12-20,311.8
2019-12-23,312.2764
2019-12-24,312.2861
2019-12-26,313.9485
2019-12-27,313.8707
2019-12-30,312.1403
2019-12-31,312.8986
2020-01-02,315.8248
2020-01-03,313.4333
2020-01-06,314.629
2020-01-07,313.7444
2020-01-08,315.4165
2020-01-09,317.5552
2020-01-10,316.6414
2020-01-13,318.819
2020-01-14,318.3329
2020-01-15,319.0523
2020-01-16,321.7063
2020-01-17,322.7076
2020-01-21,322.0757
2020-01-22,322.1146
2020-01-23,322.4841
2020-01-24,319.6162
2020-01-27,314.4929
2020-01-28,317.7885
2020-01-29,317.526
2020-01-30,318.5565
2020-01-31,312.7722
2020-02-03,315.0957
2020-02-04,319.8981
2020-02-05,323.5923
2020-02-06,324.6811
2020-02-07,322.9507
2020-02-10,325.3616
2020-02-11,325.9255
2020-02-12,328.0253
2020-02-13,327.6754
2020-02-14,328.2003
2020-02-18,327.3546
2020-02-19,328.9197
2020-02-20,327.5684
2020-02-21,324.195
2020-02-24,313.443
2020-02-25,303.945
2020-02-26,302.827
2020-02-27,289.2265
2020-02-28,288.0113
2020-03-02,300.4841
2020-03-03,291.8805
2020-03-04,304.1492
2020-03-05,294.0387
2020-03-06,289.1779
2020-03-09,266.5947
2020-03-10,280.3896
2020-03-11,266.7211
2020-03-12,241.202
2020-03-13,261.8214
2020-03-16,233.172
2020-03-17,245.7614
2020-03-18,233.3178
2020-03-19,233.8136
2020-03-20,223.7371
2020-03-23,218.0166
2020-03-24,237.7696
2020-03-25,241.3291
2020-03-26,255.4202
2020-03-27,247.8123
2020-03-30,255.8602
2020-03-31,252.0465
2020-04-01,240.7032
2020-04-02,246.2575
2020-04-03,242.6981
2020-04-06,258.9992
2020-04-07,259.2632
2020-04-08,267.9663
2020-04-09,272.044
2020-04-13,269.5602
2020-04-14,277.5103
2020-04-15,271.6137
2020-04-16,272.9241
2020-04-17,280.2973
2020-04-20,275.359
2020-04-21,266.9982
2020-04-22,272.9241
2020-04-23,272.9045
2020-04-24,276.7085
2020-04-27,280.6982
2020-04-28,279.4074
2020-04-29,286.7219
2020-04-30,284.0523
2020-05-01,276.5324
2020-05-04,277.2952
2020-05-05,279.8572
2020-05-06,277.9601
2020-05-07,281.3142
2020-05-08,285.9689
2020-05-11,286.0276
2020-05-12,280.3266
2020-05-13,275.3688
2020-05-14,278.6642
2020-05-15,279.9452
2020-05-18,288.4723
2020-05-19,285.5093
2020-05-20,290.3596
2020-05-21,288.3549
2020-05-22,288.9025
2020-05-26,292.462
2020-05-27,296.8135
2020-05-28,296.2659
2020-05-29,297.586
2020-06-01,298.7888
2020-06-02,301.2628
2020-06-03,305.2721
2020-06-04,304.4703
2020-06-05,312.2737
2020-06-08,316.0483
2020-06-09,313.6916
2020-06-10,311.9412
2020-06-11,293.9581
2020-06-12,297.4785
2020-06-15,300.2556
2020-06-16,306.0348
2020-06-17,304.7636
2020-06-18,304.881
2020-06-19,303.1388
2020-06-22,305.0835
2020-06-23,306.488
2020-06-24,298.6699
2020-06-25,301.8718
2020-06-26,294.7019
2020-06-29,299.0333
2020-06-30,302.8638
2020-07-01,304.9853
2020-07-02,306.6648
2020-07-06,311.3989
2020-07-07,308.1872
2020-07-08,310.5444
2020-07-09,308.7765
2020-07-10,311.9293
2020-07-13,309.2283
2020-07-14,313.2356
2020-07-15,316.1133
2020-07-16,315.0722
2020-07-17,315.9857
2020-07-20,318.5393
2020-07-21,319.217
2020-07-22,321.034
2020-07-23,317.2036
2020-07-24,315.1606
2020-07-27,317.4589
2020-07-28,315.4455
2020-07-29,319.3251
2020-07-30,318.1857
2020-07-31,320.7001
2020-08-03,322.9296
2020-08-04,324.177
