,ticker,value
0,MA,Information Technology
1,JMIA,Consumer Discretionary
2,KMI,Energy
3,FFIE,Consumer Discretionary
4,ANY,Information Technology
5,PG,Consumer Staples
6,AFRM,Information Technology
7,MPC,Energy
8,TELL,Energy
9,WBA,Consumer Staples
10,TAL,Consumer Discretionary
11,LVS,Consumer Discretionary
12,IVR,Financials
13,AMZN,Consumer Discretionary
14,BBIG,Consumer Discretionary
15,SOFI,Financials
16,OXY,Energy
17,SQ,Information Technology
18,RIG,Energy
19,JD,Consumer Discretionary
20,ABNB,Consumer Discretionary
21,COTY,Consumer Staples
22,OPEN,Real Estate
23,DVN,Energy
24,TTD,Information Technology
25,LYFT,Industrials
26,AA,Materials
27,PROG,Health Care
28,TDOC,Health Care
29,WYNN,Consumer Discretionary
30,CLF,Materials
31,JPM,Financials
32,LCID,Consumer Discretionary
33,PYPL,Information Technology
34,NCLH,Consumer Discretionary
35,DAL,Industrials
36,DKNG,Consumer Discretionary
37,WISH,Consumer Discretionary
38,VZ,Communication Services
39,PLUG,Industrials
40,SPLK,Information Technology
41,LAZR,Consumer Discretionary
42,ABT,Health Care
43,AMRN,Health Care
44,HPQ,Information Technology
45,OPK,Health Care
46,SCHW,Financials
47,FANG,Energy
48,W,Consumer Discretionary
49,BILI,Communication Services
50,NEM,Materials
51,VTRS,Health Care
52,BKKT,
53,VIPS,Consumer Discretionary
54,COP,Energy
55,ROKU,Communication Services
56,HAL,Energy
57,EQT,Energy
58,RKT,Financials
59,LUMN,Communication Services
60,AAPL,Information Technology
61,TSLA,Consumer Discretionary
62,F,Consumer Discretionary
63,BABA,Consumer Discretionary
64,BAC,Financials
65,T,Communication Services
66,AMD,Information Technology
67,PLTR,Information Technology
68,AAL,Industrials
69,NIO,Consumer Discretionary
70,CLOV,Health Care
71,GME,Consumer Discretionary
72,DISCA,Communication Services
73,BIDU,Communication Services
74,QS,Consumer Discretionary
75,HOOD,Financials
76,CRM,Information Technology
77,RIOT,Information Technology
78,PCG,Utilities
79,GSAT,Communication Services
80,ADI,Information Technology
81,ISRG,Health Care
82,ROOT,Financials
83,TTCF,Consumer Staples
84,UNP,Industrials
85,TSN,Consumer Staples
86,XLNX,Information Technology
87,CAN,Information Technology
88,COMM,Information Technology
89,PSX,Energy
90,DM,Industrials
91,DISH,Communication Services
92,GS,Financials
93,EPD,Energy
94,EXPE,Consumer Discretionary
95,SE,Communication Services
96,MGM,Consumer Discretionary
97,GOOGL,Communication Services
98,DOW,Materials
99,FUTU,Financials
100,PAGS,Information Technology
101,EBAY,Consumer Discretionary
102,NLY,Financials
103,PSFE,Information Technology
104,BTBT,Information Technology
105,MRVL,Information Technology
106,ON,Information Technology
107,UPS,Industrials
108,FSLR,Information Technology
109,NRZ,Financials
110,TWTR,Communication Services
111,X,Materials
112,CMCSA,Communication Services
113,CSCO,Information Technology
114,PINS,Communication Services
115,TLRY,Health Care
116,UAL,Industrials
117,ET,Energy
118,EDU,Consumer Discretionary
119,MRK,Health Care
120,RBLX,Communication Services
121,KSS,Consumer Discretionary
122,CZR,Consumer Discretionary
123,MUX,Materials
124,TRIP,Communication Services
125,TIGR,Financials
126,UWMC,Financials
127,CRSR,Information Technology
128,PEP,Consumer Staples
129,CTRA,Energy
130,LYV,Communication Services
131,AMRS,Materials
132,BCRX,Health Care
133,BSX,Health Care
134,DBRG,Real Estate
135,PAA,Energy
136,DDOG,Information Technology
137,SPWR,Information Technology
138,DELL,Information Technology
139,UPST,Financials
140,BLNK,Industrials
141,GOEV,Consumer Discretionary
142,TPX,Consumer Discretionary
143,STLA,Consumer Discretionary
144,ETSY,Consumer Discretionary
145,SAVA,Health Care
146,CAR,Industrials
147,TWO,Financials
148,SPG,Real Estate
149,UAA,Consumer Discretionary
150,INO,Health Care
151,AGC,
152,CLNE,Energy
153,SAVE,Industrials
154,BBY,Consumer Discretionary
155,PM,Consumer Staples
156,AGEN,Health Care
157,LLY,Health Care
158,UNH,Health Care
159,HYLN,Industrials
160,DBX,Information Technology
161,UNIT,Real Estate
162,WMB,Energy
163,GREE,Information Technology
164,TCOM,Consumer Discretionary
165,ATOS,Health Care
166,AIG,Financials
167,JWN,Consumer Discretionary
168,NYMT,Financials
169,CRTX,Health Care
170,FB,Communication Services
171,INTC,Information Technology
172,PFE,Health Care
173,MSFT,Information Technology
174,UBER,Industrials
175,NVDA,Information Technology
176,CCL,Consumer Discretionary
177,GE,Industrials
178,C,Financials
179,WFC,Financials
180,CRWD,Information Technology
181,GNUS,Consumer Discretionary
182,TMUS,Communication Services
183,NVAX,Health Care
184,NET,Information Technology
185,DOCU,Information Technology
186,GPS,Consumer Discretionary
187,KHC,Consumer Staples
188,IGT,Consumer Discretionary
189,CHWY,Consumer Discretionary
190,AXP,Financials
191,DNA,Health Care
192,RUN,Industrials
193,CSX,Industrials
194,VST,Utilities
195,ZS,Information Technology
196,HIMX,Information Technology
197,LOW,Consumer Discretionary
198,KR,Consumer Staples
199,MLCO,Consumer Discretionary
200,CVX,Energy
201,CVS,Health Care
202,NFLX,Communication Services
203,TME,Communication Services
204,MRNA,Health Care
205,SKLZ,Communication Services
206,IQ,Communication Services
207,ATVI,Communication Services
208,SBUX,Consumer Discretionary
209,WKHS,Consumer Discretionary
210,NEE,Utilities
211,AR,Energy
212,CPNG,Consumer Discretionary
213,MO,Consumer Staples
214,XPEV,Consumer Discretionary
215,COIN,Financials
216,IPOF,
217,AMAT,Information Technology
218,MRO,Energy
219,JNJ,Health Care
220,TGT,Consumer Discretionary
221,RIDE,Consumer Discretionary
222,MOS,Materials
223,JBLU,Industrials
224,IDEX,Industrials
225,HD,Consumer Discretionary
226,AUPH,Health Care
227,CAT,Industrials
228,MVIS,Information Technology
229,AGNC,Financials
230,PTON,Consumer Discretionary
231,IBM,Information Technology
232,ABBV,Health Care
233,ZM,Information Technology
234,MARA,Information Technology
235,FCEL,Industrials
236,ORCL,Information Technology
237,M,Consumer Discretionary
238,BYND,Consumer Staples
239,NKE,Consumer Discretionary
240,LUV,Industrials
241,RCL,Consumer Discretionary
242,NKLA,Industrials
243,LI,Consumer Discretionary
244,FUBO,Communication Services
245,PSTH,
246,PDD,Consumer Discretionary
247,SENS,Health Care
248,SDC,Health Care
249,FSR,Consumer Discretionary
250,GILD,Health Care
251,QCOM,Information Technology
252,MS,Financials
253,SPCE,Industrials
254,WMT,Consumer Staples
255,V,Information Technology
256,ZNGA,Communication Services
257,BMY,Health Care
258,KO,Consumer Staples
259,SLB,Energy
260,SNAP,Communication Services
261,AMC,Communication Services
262,SNDL,Health Care
263,GM,Consumer Discretionary
264,MU,Information Technology
265,FCX,Materials
266,XOM,Energy
267,BA,Industrials
268,DIS,Communication Services
269,VIAC,Communication Services
270,ENPH,Information Technology
271,SNOW,Information Technology
272,FISV,Information Technology
273,USB,Financials
274,TWLO,Information Technology
275,GGPI,
276,ADBE,Information Technology
277,MCD,Consumer Discretionary
278,U,Information Technology
279,MTCH,Communication Services
280,IRNT,Information Technology
281,BNGO,Health Care
282,PENN,Consumer Discretionary
283,NUE,Materials
284,TXN,Information Technology
285,BX,Financials
286,ZIM,Industrials
287,GOTU,Consumer Discretionary
288,HL,Materials
289,RTX,Industrials
290,CHPT,Industrials
291,OCGN,Health Care
292,FDX,Industrials
293,BBBY,Consumer Discretionary
294,WDC,Information Technology
295,SRNE,Health Care
296,SIRI,Communication Services
297,SABR,Information Technology
298,ATUS,Communication Services
299,FSLY,Information Technology
300,TJX,Consumer Discretionary
301,COST,Consumer Staples
302,GEO,Real Estate
303,BTU,Energy
304,MET,Financials
305,AVGO,Information Technology
306,CVNA,Consumer Discretionary
