,ticker,value
0,TWTR,Interactive Media & Services
1,X,Metals & Mining
2,CMCSA,Media
3,CSCO,Communications Equipment
4,PINS,Interactive Media & Services
5,TLRY,Pharmaceuticals
6,UAL,Airlines
7,ET,"Oil, Gas & Consumable Fuels"
8,EDU,Diversified Consumer Services
9,MRK,Pharmaceuticals
10,SPLK,Software
11,LAZR,Auto Components
12,ABT,Health Care Equipment & Suppli
13,AMRN,Biotechnology
14,HPQ,"Technology Hardware, Storage &"
15,OPK,Biotechnology
16,SCHW,Capital Markets
17,FANG,"Oil, Gas & Consumable Fuels"
18,W,Internet & Direct Marketing Re
19,BILI,Entertainment
20,LUV,Airlines
21,RCL,"Hotels, Restaurants & Leisure"
22,NKLA,Machinery
23,LI,Automobiles
24,FUBO,Interactive Media & Services
25,PSTH,
26,PDD,Internet & Direct Marketing Re
27,SENS,Health Care Equipment & Suppli
28,SDC,Health Care Equipment & Suppli
29,FSR,Automobiles
30,ABNB,"Hotels, Restaurants & Leisure"
31,COTY,Personal Products
32,OPEN,Real Estate Management & Devel
33,DVN,"Oil, Gas & Consumable Fuels"
34,TTD,Software
35,LYFT,Road & Rail
36,AA,Metals & Mining
37,PROG,Health Care Providers & Servic
38,TDOC,Health Care Technology
39,WYNN,"Hotels, Restaurants & Leisure"
40,TAL,Diversified Consumer Services
41,LVS,"Hotels, Restaurants & Leisure"
42,IVR,Mortgage Real Estate Investmen
43,AMZN,Internet & Direct Marketing Re
44,BBIG,Leisure Products
45,SOFI,Consumer Finance
46,OXY,"Oil, Gas & Consumable Fuels"
47,SQ,IT Services
48,RIG,Energy Equipment & Services
49,JD,Internet & Direct Marketing Re
50,TJX,Specialty Retail
51,COST,Food & Staples Retailing
52,GEO,Equity Real Estate Investment
53,BTU,"Oil, Gas & Consumable Fuels"
54,MET,Insurance
55,AVGO,Semiconductors & Semiconductor
56,CVNA,Specialty Retail
57,PANW,Software
58,VLO,"Oil, Gas & Consumable Fuels"
59,BEKE,Real Estate Management & Devel
60,CVX,"Oil, Gas & Consumable Fuels"
61,CVS,Health Care Providers & Servic
62,NFLX,Entertainment
63,TME,Entertainment
64,MRNA,Biotechnology
65,SKLZ,Entertainment
66,IQ,Entertainment
67,ATVI,Entertainment
68,SBUX,"Hotels, Restaurants & Leisure"
69,WKHS,Automobiles
70,CHPT,Electrical Equipment
71,OCGN,Biotechnology
72,FDX,Air Freight & Logistics
73,BBBY,Specialty Retail
74,WDC,"Technology Hardware, Storage &"
75,SRNE,Biotechnology
76,SIRI,Media
77,SABR,IT Services
78,ATUS,Media
79,FSLY,IT Services
80,BLNK,Electrical Equipment
81,GOEV,Automobiles
82,TPX,Household Durables
83,STLA,Automobiles
84,ETSY,Internet & Direct Marketing Re
85,SAVA,Pharmaceuticals
86,CAR,Road & Rail
87,TWO,Mortgage Real Estate Investmen
88,SPG,Equity Real Estate Investment
89,UAA,"Textiles, Apparel & Luxury Goo"
90,NEM,Metals & Mining
91,VTRS,Pharmaceuticals
92,BKKT,
93,VIPS,Internet & Direct Marketing Re
94,COP,"Oil, Gas & Consumable Fuels"
95,ROKU,Entertainment
96,HAL,Energy Equipment & Services
97,EQT,"Oil, Gas & Consumable Fuels"
98,RKT,Thrifts & Mortgage Finance
99,LUMN,Diversified Telecommunication
100,DM,Machinery
101,DISH,Media
102,GS,Capital Markets
103,EPD,"Oil, Gas & Consumable Fuels"
104,EXPE,"Hotels, Restaurants & Leisure"
105,SE,Entertainment
106,MGM,"Hotels, Restaurants & Leisure"
107,GOOGL,Interactive Media & Services
108,DOW,Chemicals
109,FUTU,Capital Markets
110,CRWD,Software
111,GNUS,Leisure Products
112,TMUS,Wireless Telecommunication Ser
113,NVAX,Biotechnology
114,NET,IT Services
115,DOCU,Software
116,GPS,Specialty Retail
117,KHC,Food Products
118,IGT,"Hotels, Restaurants & Leisure"
119,CHWY,Internet & Direct Marketing Re
120,INO,Biotechnology
121,AGC,
122,CLNE,"Oil, Gas & Consumable Fuels"
123,SAVE,Airlines
124,BBY,Specialty Retail
125,PM,Tobacco
126,AGEN,Biotechnology
127,LLY,Pharmaceuticals
128,UNH,Health Care Providers & Servic
129,HYLN,Machinery
130,GILD,Biotechnology
131,QCOM,Semiconductors & Semiconductor
132,MS,Capital Markets
133,SPCE,Aerospace & Defense
134,WMT,Food & Staples Retailing
135,V,IT Services
136,ZNGA,Entertainment
137,BMY,Pharmaceuticals
138,KO,Beverages
139,SLB,Energy Equipment & Services
140,PTON,Leisure Products
141,IBM,IT Services
142,ABBV,Biotechnology
143,ZM,Software
144,MARA,Software
145,FCEL,Electrical Equipment
146,ORCL,Software
147,M,Multiline Retail
148,BYND,Food Products
149,NKE,"Textiles, Apparel & Luxury Goo"
150,MA,IT Services
151,JMIA,Internet & Direct Marketing Re
152,KMI,"Oil, Gas & Consumable Fuels"
153,FFIE,Automobiles
154,ANY,Software
155,PG,Household Products
156,AFRM,IT Services
157,MPC,"Oil, Gas & Consumable Fuels"
158,TELL,"Oil, Gas & Consumable Fuels"
159,WBA,Food & Staples Retailing
160,NEE,Electric Utilities
161,AR,"Oil, Gas & Consumable Fuels"
162,CPNG,Internet & Direct Marketing Re
163,MO,Tobacco
164,XPEV,Automobiles
165,COIN,Capital Markets
166,IPOF,
167,AMAT,Semiconductors & Semiconductor
168,MRO,"Oil, Gas & Consumable Fuels"
169,JNJ,Pharmaceuticals
170,ADI,Semiconductors & Semiconductor
171,ISRG,Health Care Equipment & Suppli
172,ROOT,Insurance
173,TTCF,Food Products
174,UNP,Road & Rail
175,TSN,Food Products
176,XLNX,Semiconductors & Semiconductor
177,CAN,"Technology Hardware, Storage &"
178,COMM,Communications Equipment
179,PSX,"Oil, Gas & Consumable Fuels"
180,TGT,Multiline Retail
181,RIDE,Automobiles
182,MOS,Chemicals
183,JBLU,Airlines
184,IDEX,Machinery
185,HD,Specialty Retail
186,AUPH,Biotechnology
187,CAT,Machinery
188,MVIS,"Electronic Equipment, Instrume"
189,AGNC,Mortgage Real Estate Investmen
190,FB,Interactive Media & Services
191,INTC,Semiconductors & Semiconductor
192,PFE,Pharmaceuticals
193,MSFT,Software
194,UBER,Road & Rail
195,NVDA,Semiconductors & Semiconductor
196,CCL,"Hotels, Restaurants & Leisure"
197,GE,Industrial Conglomerates
198,C,Banks
199,WFC,Banks
200,RBLX,Entertainment
201,KSS,Multiline Retail
202,CZR,"Hotels, Restaurants & Leisure"
203,MUX,Metals & Mining
204,TRIP,Interactive Media & Services
205,TIGR,Capital Markets
206,UWMC,Thrifts & Mortgage Finance
207,CRSR,"Technology Hardware, Storage &"
208,PEP,Beverages
209,CTRA,"Oil, Gas & Consumable Fuels"
210,PAGS,IT Services
211,EBAY,Internet & Direct Marketing Re
212,NLY,Mortgage Real Estate Investmen
213,PSFE,IT Services
214,BTBT,Software
215,MRVL,Semiconductors & Semiconductor
216,ON,Semiconductors & Semiconductor
217,UPS,Air Freight & Logistics
218,FSLR,Semiconductors & Semiconductor
219,NRZ,Mortgage Real Estate Investmen
220,CLF,Metals & Mining
221,JPM,Banks
222,LCID,Automobiles
223,PYPL,IT Services
224,NCLH,"Hotels, Restaurants & Leisure"
225,DAL,Airlines
226,DKNG,"Hotels, Restaurants & Leisure"
227,WISH,Internet & Direct Marketing Re
228,VZ,Diversified Telecommunication
229,PLUG,Electrical Equipment
230,AXP,Consumer Finance
231,DNA,Biotechnology
232,RUN,Electrical Equipment
233,CSX,Road & Rail
234,VST,Independent Power and Renewabl
235,ZS,Software
236,HIMX,Semiconductors & Semiconductor
237,LOW,Specialty Retail
238,KR,Food & Staples Retailing
239,MLCO,"Hotels, Restaurants & Leisure"
240,ENPH,Semiconductors & Semiconductor
241,SNOW,IT Services
242,FISV,IT Services
243,USB,Banks
244,TWLO,IT Services
